MassProfiler(10.0.2.200) 12/11/2024 14:27:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Source: all features in the table,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816 of 1816 Features,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,RT,SD,DT,SD,CCS,SD,m/z,SD,Abundance,RSD,Z,Ions,Freq.,Q Score,Sat.,Mark,QC,QC,QC,QC,QC,QC,SampA,SampB,SampC,SampD,SampE,SampF
1,0.224,0.01,27.746,0.062,224.91,0.51,368.9775,0.0006,0.8187699,0.05,-1,4,36,100,x,FALSE,1.09E+08,1.19E+08,1.18E+08,1.16E+08,1.14E+08,1.15E+08,1.32E+08,1.08E+08,1.44E+08,1.17E+08,1.36E+08,1.31E+08
2,0.223,0.006,24.662,0.061,199.61,0.5,368.978,0.0004,0.3771503,0.25,-1,4,35,100,x,FALSE,6.08E+07,5.95E+07,6.26E+07,6.05E+07,5.36E+07,5.10E+07,6.17E+07,6.21E+07,6.16E+07,6.87E+07,6.14E+07,6.08E+07
3,0.21,0.005,27.793,0.032,224.45,0.26,412.967,0.0002,0.2394053,0.11,-1,4,36,100,x,FALSE,3.39E+07,3.47E+07,3.41E+07,3.33E+07,3.28E+07,3.18E+07,2.84E+07,3.81E+07,3.10E+07,4.00E+07,3.76E+07,3.95E+07
4,0.203,0.003,40.834,0.039,325.7,0.31,826.9426,0.0006,0.2200554,0.33,-1,5,33,100,x,FALSE,2.69E+07,3.12E+07,2.70E+07,2.94E+07,3.31E+07,2.85E+07,0.001,3.39E+07,0.001,3.66E+07,3.53E+07,3.76E+07
5,0.202,0.003,42.595,0.057,339.72,0.46,848.925,0.0008,0.1991348,0.13,-1,5,36,100,x,FALSE,2.67E+07,2.76E+07,2.51E+07,2.52E+07,1.97E+07,1.99E+07,3.36E+07,3.35E+07,3.19E+07,3.27E+07,3.03E+07,3.17E+07
6,0.21,0.007,32.263,0.08,260.97,0.65,412.9679,0.0002,0.0368889,0.53,-1,3,31,100,,FALSE,4671223,3698174,3613767,0.001,6253575,4759509,4838121,9751100,3139631,9746391,5694320,6428165
7,0.21,0.008,30.246,0.041,244.49,0.33,412.9676,0.0002,0.034191,0.55,-1,3,30,100,x,FALSE,5530255,8142480,6292240,6945470,5847046,4630936,3968261,4853091,3072400,0.001,6941723,7052863
8,0.21,0.002,27.61,0.047,232.94,0.4,168.9896,0.0001,0.0340765,0.14,-1,2,36,100,,FALSE,6150858,3998653,6060990,4937631,4938066,4303491,5185442,5195759,7038928,5290179,5054704,4886774
9,1.478,0.063,21.072,0.017,181.11,0.15,128.036,0.0002,0.0327045,0.99,-1,3,28,100,x,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,5311628,3348474,1900638,1725463,1327233,1728147
10,0.494,0.012,27.084,0.024,221.96,0.2,279.0394,0.0004,0.0265488,1.03,-1,6,28,100,x,FALSE,61903.78,43814.86,0.001,0.001,0.001,0.001,5127201,3896847,1642383,2860939,2097782,2193257
11,2.884,0.052,21.243,0.008,176.9,0.07,194.9062,0.0004,0.0247291,0.87,-1,4,30,93.4,,FALSE,1185951,0.001,1005229,0.001,1680739,1177615,7896423,1.12E+07,6198905,6312063,0.001,0.001
12,0.202,0.001,40.854,0.045,325.86,0.36,826.9429,0.0004,0.021006,3.38,-1,5,3,100,x,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,3.89E+07,0.001,3.90E+07,0.001,0.001,0.001
13,0.21,0.002,27.687,0.047,229.78,0.39,218.9862,0.0001,0.0202867,0.16,-1,2,36,100,,FALSE,2378232,3342846,2327016,2656692,3524117,2659350,2945705,3496113,2801050,2832183,2915160,3677593
14,0.574,0.011,20.491,0.012,173.62,0.1,151.0268,0.0001,0.0197739,0.81,-1,3,28,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,743594.5,2633808,2981608,2924803,2333322,2902568
15,2.444,0.072,21.92,0.011,182.85,0.09,191.021,0.0004,0.0196254,0.35,-1,3,35,100,,FALSE,4776832,4228901,3478304,2710850,3580305,0.001,3998762,3588918,2631200,2700661,2967566,2451729
16,0.223,0.005,33.154,0.021,266.14,0.17,548.9421,0.0002,0.0174795,0.31,-1,4,36,100,x,FALSE,2397053,2382576,2943887,2225609,1559303,1410945,2519825,5222260,1975694,2882385,2498200,2404240
17,0.199,0.003,52.315,0.046,415.57,0.37,1284.8804,0.0004,0.0174246,0.11,-1,4,36,100,,FALSE,2311423,2435368,2275063,2222192,1668603,1748023,2911710,2827433,2864090,2989313,2821063,2870266
18,0.489,0.005,27.134,0.086,223.87,0.72,243.0626,0.0002,0.0144307,0.99,-1,4,27,100,x,FALSE,43353.41,0.001,0.001,0.001,0.001,0.001,2672340,2083027,0.001,1599365,1093633,1367064
19,3.187,0.03,21.241,0.007,176.88,0.06,194.906,0.0001,0.0143879,1.4,-1,4,15,83.5,,FALSE,0.001,0.001,0.001,0.001,4582424,4665788,0.001,0.001,1.02E+07,8426615,0.001,0.001
20,0.76,0.007,47.213,0.047,378.09,0.38,702.5093,0.0004,0.0139754,1.44,-1,5,17,100,x,FALSE,0.001,38319.3,31993.69,0.001,0.001,0.001,18692.45,1989734,6058105,7500372,7767692,6889980
21,2.448,0.072,21.852,0.013,190.49,0.12,111.0095,0.0002,0.0127876,0.37,-1,3,34,100,,FALSE,3044821,2526533,2291734,1788638,2136197,0.001,2533547,2295505,1632270,1376356,1994344,2014995
22,0.21,0.006,33.387,0.057,270.15,0.47,412.968,0.0003,0.0125515,0.97,-1,3,20,100,,FALSE,2317829,0.001,3012195,2490220,0.001,4641571,1615280,0.001,0.001,0.001,3090071,3769125
23,1.544,0.033,22.902,0.041,196.8,0.36,130.0881,0.0002,0.0125089,1.14,-1,3,22,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,1524136,1238391,692059.8,689691.4,0.001,0.001
24,1.078,0.023,30.851,0.036,250.42,0.29,367.1062,0.0003,0.0118992,1.32,-1,4,16,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,1445590,823568.1,0.001,0.001,0.001,0.001
25,0.374,0.006,31.594,0.04,258.79,0.33,293.1762,0.0002,0.0114378,1.01,-1,4,32,100,x,FALSE,42926.37,0.001,0.001,47160.89,0.001,0.001,1693480,621851.7,900739.8,572181.1,271272.2,1690413
